Date,Open,High,Low,Close,Adj Close,Volume
2017-12-29,270.435486,272.916565,267.954437,270.435486,208.513565,9517103
2018-01-01,270.435486,270.435486,270.435486,270.435486,208.513565,0
2018-01-02,272.916565,280.359741,265.473389,267.954437,206.600616,9840956
2018-01-03,267.954437,275.397614,265.473389,272.916565,210.426575,17716624
2018-01-04,275.397614,275.397614,270.435486,272.916565,210.426575,2728068
2018-01-05,272.916565,290.283966,270.435486,282.840790,218.078415,35399190
2018-01-08,285.321838,287.802917,280.359741,282.840790,218.078415,7067141
2018-01-09,282.840790,285.321838,277.878662,280.359741,216.165466,2797595
2018-01-10,282.840790,282.840790,280.359741,282.840790,218.078415,2979573
2018-01-11,280.359741,282.840790,277.878662,282.840790,218.078415,3586370
2018-01-12,282.840790,282.840790,277.878662,282.840790,218.078415,3082352
2018-01-15,282.840790,285.321838,280.359741,282.840790,218.078415,22690708
2018-01-16,282.840790,290.283966,282.840790,287.802917,221.904343,21146207
2018-01-17,292.765045,292.765045,285.321838,287.802917,221.904343,5854555
2018-01-18,290.283966,290.283966,285.321838,287.802917,221.904343,3544856
2018-01-19,287.802917,297.727142,287.802917,295.246094,227.643295,22618561
2018-01-22,295.246094,300.208221,292.765045,297.727142,229.556229,22752375
2018-01-23,297.727142,300.208221,292.765045,297.727142,229.556229,7909725
2018-01-24,297.727142,300.208221,292.765045,297.727142,229.556229,5109510
2018-01-25,295.246094,302.689270,292.765045,297.727142,229.556229,19717785
2018-01-26,297.727142,300.208221,292.765045,300.208221,231.469223,26512664
2018-01-29,300.208221,305.170319,300.208221,305.170319,235.295166,10457225
2018-01-30,305.170319,315.094574,305.170319,310.132446,239.121109,25560450
2018-01-31,310.132446,315.094574,307.651398,307.651398,237.208115,11759088
2018-02-01,312.613495,327.499878,310.132446,322.537750,248.685944,37084357
2018-02-02,322.537750,337.424103,322.537750,334.943054,258.250793,42627754
2018-02-05,337.424103,337.424103,312.613495,334.943054,258.250793,24528632
2018-02-06,332.461975,332.461975,315.094574,325.018799,250.598892,29395908
2018-02-07,327.499878,334.943054,325.018799,325.018799,250.598892,20968863
2018-02-08,325.018799,332.461975,325.018799,329.980927,254.424820,11059387
2018-02-09,329.980927,329.980927,322.537750,327.499878,252.511917,7055856
2018-02-12,327.499878,332.461975,325.018799,327.499878,252.511917,14909758
2018-02-13,327.499878,329.980927,325.018799,327.499878,252.511917,9771631
2018-02-14,327.499878,347.348328,325.018799,339.905151,262.076721,29239724
2018-02-15,339.905151,342.386230,337.424103,337.424103,260.163727,6503269
2018-02-16,337.424103,337.424103,337.424103,337.424103,260.163727,0
2018-02-19,337.424103,339.905151,332.461975,337.424103,260.163727,6003483
2018-02-20,342.386230,342.386230,337.424103,339.905151,262.076721,4844704
2018-02-21,339.905151,342.386230,337.424103,337.424103,260.163727,3633326
2018-02-22,337.424103,342.386230,337.424103,337.424103,260.163727,5797724
2018-02-23,339.905151,342.386230,337.424103,342.386230,263.989655,9327667
2018-02-26,342.386230,342.386230,337.424103,337.424103,260.163727,5491605
2018-02-27,339.905151,342.386230,337.424103,337.424103,260.163727,13491010
2018-02-28,337.424103,342.386230,337.424103,337.424103,260.163727,3100086
2018-03-01,337.424103,342.386230,337.424103,339.905151,262.076721,8424626
2018-03-02,339.905151,342.386230,339.905151,339.905151,262.076721,1984837
2018-03-05,339.905151,339.905151,337.424103,339.905151,262.076721,2968086
2018-03-06,339.905151,342.386230,287.802917,337.424103,260.163727,23752351
2018-03-07,334.943054,339.905151,334.943054,339.905151,262.076721,13558320
2018-03-08,339.905151,342.386230,337.424103,342.386230,263.989655,13927517
2018-03-09,342.386230,342.386230,339.905151,342.386230,263.989655,9960260
2018-03-12,342.386230,342.386230,339.905151,339.905151,262.076721,3760087
2018-03-13,339.905151,342.386230,339.905151,339.905151,262.076721,7070970
2018-03-14,339.905151,342.386230,339.905151,342.386230,263.989655,5173999
2018-03-15,339.905151,342.386230,332.461975,339.905151,262.076721,4564582
2018-03-16,339.905151,339.905151,332.461975,337.424103,260.163727,3047085
2018-03-19,339.905151,339.905151,334.943054,334.943054,258.250793,3429784
2018-03-20,334.943054,339.905151,325.018799,334.943054,258.250793,3803616
2018-03-21,334.943054,339.905151,332.461975,339.905151,262.076721,1864929
2018-03-22,339.905151,339.905151,334.943054,334.943054,258.250793,554400
2018-03-23,334.943054,339.905151,322.537750,339.905151,262.076721,8428858
2018-03-26,339.905151,339.905151,334.943054,334.943054,258.250793,2379225
2018-03-27,337.424103,339.905151,334.943054,337.424103,260.163727,1750864
2018-03-28,337.424103,342.386230,337.424103,342.386230,263.989655,6729584
2018-03-29,342.386230,342.386230,337.424103,337.424103,260.163727,1495328
2018-03-30,337.424103,337.424103,337.424103,337.424103,260.163727,0
2018-04-02,339.905151,339.905151,337.424103,337.424103,260.163727,5121602
2018-04-03,337.424103,339.905151,334.943054,337.424103,260.163727,3946700
2018-04-04,337.424103,339.905151,334.943054,337.424103,260.163727,700305
2018-04-05,337.424103,337.424103,334.943054,337.424103,260.163727,942137
2018-04-06,337.424103,342.386230,334.943054,339.905151,262.076721,8330916
2018-04-09,339.905151,347.348328,339.905151,347.348328,267.815552,20175049
2018-04-10,349.829407,357.272583,347.348328,352.310455,271.641510,7358348
2018-04-11,352.310455,367.196808,347.348328,367.196808,283.119385,10823198
2018-04-12,369.677887,372.158936,359.753632,367.196808,283.119385,11128914
2018-04-13,367.196808,372.158936,367.196808,369.677887,285.032349,3303024
2018-04-16,369.677887,369.677887,369.677887,369.677887,285.032349,0
2018-04-17,369.677887,369.677887,369.677887,369.677887,285.032349,0
2018-04-18,372.158936,377.121063,364.715759,374.639984,288.858276,9507631
2018-04-19,374.639984,374.639984,374.639984,374.639984,288.858276,0
2018-04-20,374.639984,374.639984,374.639984,374.639984,288.858276,0
2018-04-23,382.083191,382.083191,369.677887,369.677887,285.032349,6814830
2018-04-24,387.045288,387.045288,369.677887,377.121063,290.771210,8416363
2018-04-25,377.121063,377.121063,377.121063,377.121063,290.771210,0
2018-04-26,377.121063,377.121063,377.121063,377.121063,290.771210,0
2018-04-27,377.121063,377.121063,377.121063,377.121063,290.771210,0
2018-04-30,374.639984,409.374817,374.639984,404.412720,311.813873,38648608
2018-05-01,404.412720,404.412720,404.412720,404.412720,311.813873,0
2018-05-02,406.893768,421.780121,404.412720,416.818024,321.378784,20354408
2018-05-03,419.299072,421.780121,414.336945,419.299072,323.291687,17359317
2018-05-04,419.299072,421.780121,396.969543,406.893768,313.726868,11635351
2018-05-07,419.299072,419.299072,406.893768,409.374817,315.639801,10517482
2018-05-08,419.299072,419.299072,396.969543,404.412720,311.813873,3161552
2018-05-09,404.412720,406.893768,396.969543,404.412720,311.813873,4386432
2018-05-10,404.412720,404.412720,404.412720,404.412720,311.813873,0
2018-05-11,404.412720,416.818024,404.412720,416.818024,321.378784,8391575
2018-05-14,416.818024,416.818024,406.893768,414.336945,319.465759,3682499
2018-05-15,414.336945,416.818024,404.412720,404.412720,311.813873,1590852
2018-05-16,404.412720,406.893768,374.639984,396.969543,306.075043,16085667
2018-05-17,396.969543,404.412720,396.969543,399.450592,307.987915,1154547
2018-05-18,399.450592,406.893768,396.969543,399.450592,307.987915,8046360
2018-05-21,399.450592,401.931641,394.488464,399.450592,307.987915,8563075
2018-05-22,399.450592,401.931641,396.969543,399.450592,307.987915,8086464
2018-05-23,399.450592,419.299072,399.450592,416.818024,321.378784,13554692
